SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality
WLANMTSU,D8-84-66-12-81-B0,802.11ac,-68,60,60.0,5.220,44,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,42 - 58,Infrastructure,No,4/16/2019 11:24:33 AM,4/16/2019 11:24:33 AM,1,4/16/2019 11:24:30 AM,60,60
WLANMTSU,D8-84-66-12-E3-E0,802.11ac,-71,38,38.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/16/2019 11:24:33 AM,4/16/2019 11:24:33 AM,1,4/16/2019 11:24:30 AM,38,38
WLANMTSU,D8-84-66-12-E3-40,802.11ac,-71,38,38.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/16/2019 11:24:33 AM,4/16/2019 11:24:33 AM,1,4/16/2019 11:24:30 AM,38,38
DIRECT-99-HP M477 LaserJet,76-40-BB-75-35-99,802.11n,-73,34,34.0,2.437,6,281,13,,,,WPA2-PSK,CCMP,72 Mbps,20 MHz,4 - 8,Infrastructure,No,4/16/2019 11:24:33 AM,4/16/2019 11:24:33 AM,1,4/16/2019 11:24:29 AM,34,34
WLANMTSU,D8-84-66-13-09-E0,802.11ac,-78,24,24.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/16/2019 11:24:33 AM,4/16/2019 11:24:33 AM,1,4/16/2019 11:24:30 AM,24,24
WLANMTSU,D8-84-66-13-0F-30,802.11ac,-81,18,18.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/16/2019 11:24:33 AM,4/16/2019 11:24:33 AM,1,4/16/2019 11:24:30 AM,18,18
WLANMTSU,D8-84-66-13-12-A0,802.11ac,-84,12,12.0,5.220,44,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,42 - 58,Infrastructure,No,4/16/2019 11:24:33 AM,4/16/2019 11:24:33 AM,1,4/16/2019 11:24:30 AM,12,12
WLANMTSU,D8-84-66-12-E4-00,802.11ac,-84,12,12.0,5.805,161,168,12,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/16/2019 11:24:33 AM,4/16/2019 11:24:33 AM,1,4/16/2019 11:24:30 AM,12,12
WLANMTSU,D8-84-66-12-8A-18,802.11n,-86,8,8.0,2.412,1,122,9,Extreme Networks,,,None,None,195 Mbps,20 MHz,1 - 3,Infrastructure,No,4/16/2019 11:24:33 AM,4/16/2019 11:24:33 AM,1,4/16/2019 11:24:30 AM,8,8
WLANMTSU,D8-84-66-12-81-E1,802.11ac,-87,6,6.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/16/2019 11:24:33 AM,4/16/2019 11:24:33 AM,1,4/16/2019 11:24:30 AM,6,6
